mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.2810501456260681,0.02908397053553441,0.02805227041244507,0.0020319385161095883,,10,"{'max_depth': None, 'n_estimators': 10}",0.7967252396166135,0.7934305111821086,0.7948282747603834,0.7985022466300549,0.7958715680472901,0.001916797097741599,15
1.4760944247245789,0.2228146054916014,0.1336609125137329,0.013687027011007331,,50,"{'max_depth': None, 'n_estimators': 50}",0.8041134185303515,0.8028154952076677,0.8041134185303515,0.8066899650524214,0.8044330743301981,0.0014066340684818358,14
2.870724618434906,0.3459269792069261,0.29015642404556274,0.05203598122272817,,100,"{'max_depth': None, 'n_estimators': 100}",0.8047124600638977,0.8072084664536742,0.8028154952076677,0.8055916125811283,0.805082008576592,0.0015854942682954854,12
5.027669191360474,0.10456839990406859,0.4749452471733093,0.01405246986321492,,200,"{'max_depth': None, 'n_estimators': 200}",0.8056110223642172,0.8054113418530351,0.8055111821086262,0.8067898152770844,0.8058308404007407,0.0005581472112902004,9
0.13066989183425903,0.00659643441661162,0.013690531253814697,0.001079742539291833,10,10,"{'max_depth': 10, 'n_estimators': 10}",0.8160942492012779,0.8125,0.8080071884984026,0.8089865202196705,0.8113969894798377,0.003185199909197331,7
0.5763524174690247,0.00733805638789123,0.05505102872848511,0.0042790162026141425,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.8171924920127795,0.81439696485623,0.8096046325878594,0.8159760359460809,0.8142925313507374,0.0028823280838584753,2
1.1192386746406555,0.02540730250129977,0.10093581676483154,0.004990108027102195,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.8170926517571885,0.8130990415335463,0.81060303514377,0.8130803794308538,0.8134687769663396,0.0023255376598331555,6
2.2736064195632935,0.031864453835224994,0.19947963953018188,0.01715230694493367,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.8160942492012779,0.8141972843450479,0.8128993610223643,0.8142785821268098,0.814367369173875,0.001137318617480258,1
0.2021418809890747,0.0015867728220416344,0.021307051181793213,0.0003542368727954595,20,10,"{'max_depth': 20, 'n_estimators': 10}",0.8061102236421726,0.8080071884984026,0.8043130990415336,0.8081877184223665,0.8066545574011188,0.0015778878360970705,8
1.0357013940811157,0.04849966998812255,0.09974819421768188,0.004200572583056979,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.8140974440894568,0.8136980830670927,0.8100039936102237,0.817573639540689,0.8138432900768655,0.0026805495620683705,4
2.160938262939453,0.04834340298685878,0.1976194977760315,0.0014205743876061392,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.8145966453674122,0.8141972843450479,0.8121006389776357,0.8146779830254618,0.8138931379288894,0.0010507690129588586,3
4.270416736602783,0.09339564964882709,0.3947678208351135,0.00539505745882392,20,200,"{'max_depth': 20, 'n_estimators': 200}",0.8141972843450479,0.8146964856230032,0.8102036741214057,0.8149775336994508,0.8135187444472269,0.0019342471414996447,5
0.2553049921989441,0.0014408736671195836,0.02604389190673828,0.0014872954852480627,30,10,"{'max_depth': 30, 'n_estimators': 10}",0.7952276357827476,0.7931309904153354,0.7970247603833865,0.7973040439340988,0.7956718576288921,0.0016694098690512146,16
1.2901577949523926,0.062495183795106025,0.12496918439865112,0.006258756512307217,30,50,"{'max_depth': 30, 'n_estimators': 50}",0.8062100638977636,0.8025159744408946,0.803314696485623,0.8072890664003994,0.8048324503061702,0.001974994869383132,13
2.516235113143921,0.033095135506011356,0.24746817350387573,0.014384656313800473,30,100,"{'max_depth': 30, 'n_estimators': 100}",0.8036142172523961,0.8080071884984026,0.8043130990415336,0.8064902646030954,0.8056061923488569,0.0017454527598313675,11
4.999261796474457,0.2709978381130561,0.4391325116157532,0.017891974697130174,30,200,"{'max_depth': 30, 'n_estimators': 200}",0.8074081469648562,0.8036142172523961,0.8048123003194888,0.8070893659510734,0.8057310076219536,0.001579775166127624,10
