mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.008505940437316895,0.0037540100387712526,0.507624626159668,0.057950180378099195,3,{'n_neighbors': 3},0.7765575079872205,0.7839456869009584,0.7724640575079872,0.7777333999001498,0.777675163074079,0.004114840054774533,4
0.006415307521820068,0.0006158462978050567,0.4643665552139282,0.015287628872728398,5,{'n_neighbors': 5},0.7887380191693291,0.7925319488817891,0.7860423322683706,0.7916125811283076,0.7897312203619491,0.002548428071920278,3
0.007161498069763184,0.000432217984360821,0.4498642683029175,0.0023813000709196745,7,{'n_neighbors': 7},0.7962260383386581,0.7933306709265175,0.7926317891373802,0.7987019470793809,0.7952226113704842,0.002418906836916487,2
0.007232546806335449,0.000957728062869988,0.46387404203414917,0.0059575032612090165,9,{'n_neighbors': 9},0.7999201277955271,0.797923322683706,0.7967252396166135,0.801098352471293,0.798916760641785,0.0016996890845170601,1
