mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1.5411685109138489,0.15465618235845863,0.017384707927703857,0.001577327933691175,0.01,3,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.7857428115015974,0.7857428115015974,0.7859424920127795,0.7857214178731902,0.785787383222291,8.997699808838521e-05,27
3.2654663920402527,0.09447954358330996,0.025731801986694336,0.0008495062578719669,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.7980231629392971,0.7870407348242812,0.7956269968051118,0.7877184223664503,0.7921023292337851,0.00480411101673546,24
9.198220670223236,2.1397443809747636,0.0779842734336853,0.05178046483226984,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.8048123003194888,0.8066094249201278,0.803314696485623,0.8034947578632052,0.8045577948971112,0.0013180762646241842,22
3.0033466815948486,0.06937985985076303,0.02435898780822754,0.0007328158155193825,0.01,5,50,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",0.7877396166134185,0.7877396166134185,0.7874400958466453,0.7873190214677983,0.7875595876353202,0.00018504812511015931,26
5.867478728294373,0.5856425757673703,0.04114639759063721,0.007223406578455941,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.8011182108626198,0.8005191693290735,0.7994209265175719,0.800798801797304,0.8004642771266424,0.0006385784473473352,23
9.84949916601181,0.15703407820947207,0.06357622146606445,0.007871803711205834,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.8144968051118211,0.8131988817891374,0.81060303514377,0.8129805292061907,0.8128198128127297,0.0014049848266807234,20
4.980603396892548,0.779447035976799,0.034342169761657715,0.0033501991697415016,0.01,7,50,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}",0.7877396166134185,0.7882388178913738,0.7885383386581469,0.7899151273090365,0.7886079751179939,0.0008068177671447235,25
16.02280753850937,7.656771977050638,0.09152811765670776,0.0311717823567034,0.01,7,100,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.8081070287539937,0.8078075079872205,0.8060103833865815,0.8060908637044434,0.8070039459580598,0.0009596079114286548,21
19.33720886707306,7.875879818108932,0.0942954421043396,0.013987166907454048,0.01,7,200,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.8171924920127795,0.8151956869009584,0.8130990415335463,0.818372441337993,0.8159649154463193,0.0020067430692861875,18
1.5951359272003174,0.08392783241022521,0.014393508434295654,0.0006628203598967491,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.8135982428115016,0.8146964856230032,0.8116014376996805,0.8146779830254618,0.8136435372899118,0.0012600595718213895,19
2.5670716762542725,0.11576877485152018,0.017008960247039795,0.0004855619101225056,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.8190894568690096,0.8164936102236422,0.8129992012779552,0.8199700449326011,0.817138078325802,0.002709868789849901,17
4.754813551902771,0.04225062211895048,0.026330411434173584,0.00032265501640760285,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.8234824281150159,0.8193889776357828,0.8169928115015974,0.8223664503245133,0.8205576668942274,0.0025445998825685775,13
2.3494706749916077,0.3017868707932398,0.019333362579345703,0.007818706078722924,0.1,5,50,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",0.821785143769968,0.8194888178913738,0.8169928115015974,0.8208686969545681,0.8197838675293768,0.0018068625786155654,14
4.82981812953949,0.5293279186878789,0.027657747268676758,0.005797475720332992,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.8239816293929713,0.8207867412140575,0.8205870607028753,0.8241637543684474,0.8223797964195878,0.0016955899471689374,8
15.156773686408997,3.02235173997872,0.06609451770782471,0.016130015713850813,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.8262779552715654,0.8219848242811502,0.8206869009584664,0.8271592611083375,0.8240272354048799,0.0027479356951011173,1
3.1317248344421387,0.28215474441443145,0.019717097282409668,0.0015466054681009722,0.1,7,50,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",0.8232827476038339,0.819888178913738,0.8174920127795527,0.8238642036944583,0.8211317857478957,0.002592645847365321,10
6.356901407241821,0.6228274178562487,0.03715485334396362,0.010345033742229982,0.1,7,100,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.827076677316294,0.8222843450479234,0.8190894568690096,0.8263604593110334,0.8237027346360651,0.003230369577817803,3
11.542671918869019,0.5438702898372059,0.05375349521636963,0.002824944554478526,0.1,7,200,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.8242811501597445,0.8212859424920128,0.8190894568690096,0.8266600099850224,0.8228291398764473,0.002878827313986503,5
1.1963157653808594,0.010108886036200878,0.010150432586669922,0.00017259817343862497,0.2,3,50,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",0.8195886581469649,0.8173921725239617,0.8133985623003195,0.8207688467299051,0.8177870599252878,0.002808543045985713,15
