mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_multi_class,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.11876320838928223,0.033850410414655425,0.0064147114753723145,0.0014279136451641806,0.1,100,ovr,l2,"{'C': 0.1, 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2'}",0.8018170926517572,0.8004193290734825,0.8000199680511182,0.8052920619071393,0.8018871129208742,0.002076005769770121,22
0.006576955318450928,0.0010590871211731592,0.0,0.0,0.1,100,multinomial,l1,"{'C': 0.1, 'max_iter': 100, 'multi_class': 'multinomial', 'penalty': 'l1'}",,,,,,,37
0.28420788049697876,0.028830449333131603,0.009190797805786133,0.003556848061757131,0.1,100,multinomial,l2,"{'C': 0.1, 'max_iter': 100, 'multi_class': 'multinomial', 'penalty': 'l2'}",0.8021166134185304,0.8008186900958466,0.8001198083067093,0.8052920619071393,0.8020867934320564,0.001984423832224165,19
0.006393015384674072,0.001682170959836799,0.0,0.0,0.1,200,ovr,l1,"{'C': 0.1, 'max_iter': 200, 'multi_class': 'ovr', 'penalty': 'l1'}",,,,,,,37
0.16022825241088867,0.06105511495175615,0.0049454569816589355,0.0026898428651077185,0.1,200,ovr,l2,"{'C': 0.1, 'max_iter': 200, 'multi_class': 'ovr', 'penalty': 'l2'}",0.8018170926517572,0.8004193290734825,0.8000199680511182,0.8052920619071393,0.8018871129208742,0.002076005769770121,22
0.003082096576690674,0.0003316636978356518,0.0,0.0,0.1,200,multinomial,l1,"{'C': 0.1, 'max_iter': 200, 'multi_class': 'multinomial', 'penalty': 'l1'}",,,,,,,37
0.1595497727394104,0.01889340404589746,0.0041255950927734375,0.0001065801718414781,0.1,200,multinomial,l2,"{'C': 0.1, 'max_iter': 200, 'multi_class': 'multinomial', 'penalty': 'l2'}",0.8021166134185304,0.8008186900958466,0.8001198083067093,0.8052920619071393,0.8020867934320564,0.001984423832224165,19
0.005891680717468262,0.0014070646339541645,0.0,0.0,0.1,300,ovr,l1,"{'C': 0.1, 'max_iter': 300, 'multi_class': 'ovr', 'penalty': 'l1'}",,,,,,,37
0.09164434671401978,0.02092742680512882,0.0043961405754089355,0.0007864725051464526,0.1,300,ovr,l2,"{'C': 0.1, 'max_iter': 300, 'multi_class': 'ovr', 'penalty': 'l2'}",0.8018170926517572,0.8004193290734825,0.8000199680511182,0.8052920619071393,0.8018871129208742,0.002076005769770121,22
0.0038248300552368164,0.000909707490056651,0.0,0.0,0.1,300,multinomial,l1,"{'C': 0.1, 'max_iter': 300, 'multi_class': 'multinomial', 'penalty': 'l1'}",,,,,,,37
0.2246614694595337,0.07964588713211006,0.0069966912269592285,0.00400608856838943,0.1,300,multinomial,l2,"{'C': 0.1, 'max_iter': 300, 'multi_class': 'multinomial', 'penalty': 'l2'}",0.8021166134185304,0.8008186900958466,0.8001198083067093,0.8052920619071393,0.8020867934320564,0.001984423832224165,19
0.007362544536590576,0.0020621219534755573,0.0,0.0,1,100,ovr,l1,"{'C': 1, 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l1'}",,,,,,,37
0.09322601556777954,0.023346012347557996,0.004938185214996338,0.0012937492552881986,1,100,ovr,l2,"{'C': 1, 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2'}",0.803214856230032,0.8007188498402555,0.8005191693290735,0.8056914628057913,0.8025360845512881,0.002108757449864662,16
0.0033977627754211426,0.000200068661561639,0.0,0.0,1,100,multinomial,l1,"{'C': 1, 'max_iter': 100, 'multi_class': 'multinomial', 'penalty': 'l1'}",,,,,,,37
0.1797136664390564,0.009085017919260634,0.003992676734924316,0.0003600294814723398,1,100,multinomial,l2,"{'C': 1, 'max_iter': 100, 'multi_class': 'multinomial', 'penalty': 'l2'}",0.8030151757188498,0.8007188498402555,0.8005191693290735,0.8058911632551173,0.802536089535824,0.002171196125653279,13
0.003643929958343506,0.0007205914986854643,0.0,0.0,1,200,ovr,l1,"{'C': 1, 'max_iter': 200, 'multi_class': 'ovr', 'penalty': 'l1'}",,,,,,,37
0.07763034105300903,0.004390699704340355,0.004210531711578369,0.0007745750043863457,1,200,ovr,l2,"{'C': 1, 'max_iter': 200, 'multi_class': 'ovr', 'penalty': 'l2'}",0.803214856230032,0.8007188498402555,0.8005191693290735,0.8056914628057913,0.8025360845512881,0.002108757449864662,16
0.0037813782691955566,0.0005725162713974819,0.0,0.0,1,200,multinomial,l1,"{'C': 1, 'max_iter': 200, 'multi_class': 'multinomial', 'penalty': 'l1'}",,,,,,,37
